ID,Num CT Tweets,Searched
1721052956,6051,0
1027987109146177537,4474,0
1124368051028275200,490,0
1694801797,177,0
1194919945542479872,59,0
971841463989493760,561,0
105190826,4218,0
1026299758481235968,187,0
1176919666624778240,312,0
1194118169146716161,136,0
963471401847017473,78,0
4341833414,26,0
941915198209904640,90,0
263571055,37,0
981284521671786496,44,0
852764861905780736,747,0
1212275489454215168,26,0
964579576302063617,547,0
1145494696086532098,211,0
1107457038307606528,15,0
1025922902414188544,220,0
1097653719972294656,136,0
949539186406805504,340,0
22289251,20,0
145705311,990,0
2227207840,30,0
3131225314,237,0
3078745632,123,0
391684223,83,0
1134919015,967,0
32637927,94,0
65260792,19,0
77170635,265,0
2381931373,131,0
1417043090,9,0
125157295,183,0
3917836273,21,0
1204462604300587009,125,0
767125186449543168,270,0
1181761259089338368,136,0
1156303226188324869,164,0
1630361768,616,0
401821818,741,0
796434095618355200,16,0
912378599445024768,112,0
4724913314,45,0
822407407,15,0
1086219741059010562,52,0
238443617,105,0
957013962758868992,28,0
277855177,675,0
242618658,20,0
3385223109,43,0
869184046105993216,41,0
727469538468462593,24,0
849632477585047552,12,0
285307044,110,0
50455915,48,0
144557341,30,0
1041900843312865280,578,0
1092063389625581569,107,0
266120053,75,0
1059728349843677190,16,0
1110007062031937536,47,0
529486782,86,0
1105876113102913542,14,0
3319333378,80,0
819840120631296000,25,0
934055222409699328,23,0
167717778,76,0
107570574,5,0
30418586,43,0
259123499,22,0
801797388,59,0
32219582,6,0
2459846702,24,0
149655621,42,0
15262741,103,0
762030765710401536,36,0
1190603044171456512,654,0
1185542042685825026,121,0
326137402,260,0
842555299374481408,17,0
1161031430731907072,41,0
969385310806204416,126,0
1058437965200928769,26,0
2719220361,49,0
2356340755,11,0
4766031335,27,0
1018965205445795840,212,0
1194414396941799425,13,0
38845695,4,0
3237401508,62,0
3512120116,369,0
15231203,25,0
3475415657,431,0
596025267,67,0
823050058232954880,31,0
1010305308340736001,87,0
294764262,173,0
955293669602439168,100,0
992139352728748034,23,0
27234106,6,0
204005733,5,0
1715647705,8,0
1197087752396783616,8,0
317020077,27,0
1100298978300555265,56,0
3288601627,6,0
4893919870,52,0
344160010,5,0
864083197075873794,49,0
741417038783123456,6,0
701797092814094336,131,0
835350665211719681,7,0
1176436342378700800,75,0
1032807648767475712,101,0
829571963924389889,4,0
1093215625768509440,87,0
45175575,57,0
2374042004,4,0
1172939189031014400,444,0
1080374532471382016,54,0
746016728606511104,41,0
222413233,11,0
211620426,46,0
1021393315416166400,23,0
361951460,20,0
38667530,22,0
1191437670301491200,439,0
963423168324096002,57,0
3309965448,4,0
1629426966,4,0
352683859,6,0
1636788799,51,0
842050668038885377,67,0
573110293,42,0
39302791,65,0
427665740,32,0
717035360,121,0
142844200,19,0
417468625,21,0
1208623885333258240,21,0
53963139,109,0
258391179,59,0
4691320009,5,0
24719342,158,0
1107689243273510912,22,0
248794757,40,0
216224712,173,0
1072001499423600640,86,0
3369255861,16,0
780564694922690560,181,0
750405708525473792,83,0
2686473534,3,0
57935177,24,0
1124165096,5,0
821285945261572097,6,0
1059085977673756673,21,0
4403849712,7,0
1963092133,36,0
1090350746904670208,14,0
1026758684,151,0
22930220,150,0
1213599916846542849,46,0
43394738,171,0
40755803,32,0
1061655426041831424,4,0
587909086,66,0
711379646319861760,17,0
1102211320743632897,38,0
50484609,13,0
1094308218417831936,15,0
271586341,26,0
157952971,77,0
303020560,168,0
957217296790970368,4,0
832347431593443329,6,0
871878457,59,0
1212091662387666944,10,0
125160297,4,0
3636881662,6,0
1099604659306561536,9,0
4786069640,61,0
3053222092,3,0
973797540649979905,4,0
39477392,2,0
2895909355,111,0
4890329148,109,0
579987858,48,0
10259352,2,0
803070489111523328,25,0
757341228,3,0
4704062288,30,0
945778690218061824,14,0
366749263,3,0
314334960,7,0
2247440269,182,0
1014817127407251456,20,0
1445254561,28,0
125137099,8,0
1037648264672079872,37,0
768369594,2,0
932305173577420800,10,0
82742977,34,0
1046109939381530624,31,0
962025118259208192,17,0
1004347144931864576,15,0
749664698296111104,13,0
1195976175849328642,41,0
803993575801442307,16,0
954856782064705536,62,0
1158929633405894656,21,0
263323353,15,0
993539089,14,0
854736331,10,0
